media_id,image_path,image_sha256,event_label,sample_role,scenario_id,group_id,original_split,p2_internal_role,source_type,taxonomy,baseline_predicted_status,baseline_evidence,baseline_is_fp,prompt_path,possible_GT_boundary_review_needed
IMG_003732,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/331_h04-kneeling-01.png,5c88c36cb9519b09e448c3487508aa73ed4bd2a763f46680bf9322017a3df9e0,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/331_h04-kneeling-01.txt,false
IMG_003733,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/332_h04-kneeling-02.png,1a97fb68f1b7856a23da903b44dd63534a8c2936bf4554b90da171c6d99128ed,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/332_h04-kneeling-02.txt,false
IMG_003734,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/333_h04-kneeling-03.png,fb291c9e0e88809b9c1bbf3023a4e133b56f9db057cd1b019396c800187c6d46,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/333_h04-kneeling-03.txt,false
IMG_003735,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/334_h04-kneeling-04.png,81dc5bb723c3ef2385587823a37b33ea00c313aa9142416f4225c1f7bd9cc780,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/334_h04-kneeling-04.txt,false
IMG_003736,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/335_h04-kneeling-05.png,a5f49b6be5465bc6bc6b528ff6582663251262079bbf4ef39c09f8f94af1fd6a,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is sitting on the floor in a kneeling or half-kneeling posture, not lying down. They are maintaining a seated position while interacting with objects on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/335_h04-kneeling-05.txt,false
IMG_003737,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/336_h04-kneeling-06.png,a34dc5ac505694fb09bf451aa1f857cb16f576943981e81bbde97849691e2244,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/336_h04-kneeling-06.txt,false
IMG_003738,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/337_h04-kneeling-07.png,cf0fab739e5b2dba3b00eaabca7a446d0681ad5c6c05a8dbb6b0d7c28861bfcd,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/337_h04-kneeling-07.txt,false
IMG_003739,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/338_h04-kneeling-08.png,c8cb3323d15195f6ab37a8612bda59fe1b5c5709447488b249b6ad10f803b39d,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,positive,"A person is clearly lying horizontally on the floor in a collapsed or prone position, supported by the ground surface.",true,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/338_h04-kneeling-08.txt,false
IMG_003740,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/339_h04-kneeling-09.png,95ef71cca5f36a01b13631fe23712631906745bb360b3232c4788152083d3e8e,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the ground, not lying down or in a collapsed state.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/339_h04-kneeling-09.txt,false
IMG_003741,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/340_h04-kneeling-10.png,0fd7a8679875274d283899f60951ec8bbfb07d48c512677d4326f8c28f1490dd,0,hard_negative,pf_v2_aigc_h04-kneeling,pf_v2_aigc_h04-kneeling,DEV,P2_DESIGN,ai_generated,kneeling_or_half_kneeling,negative,"The person is kneeling on the floor, not lying down or in a collapsed state.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/340_h04-kneeling-10.txt,false
IMG_003742,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/341_h05-squatting-01.png,c9a1818d75502dd3d49f09aec32fd72a5c3d4f4753628f8e446bd05431687831,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/341_h05-squatting-01.txt,false
IMG_003743,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/342_h05-squatting-02.png,c01f918d19a67837bd2ac6ffef2744eda19c79753cb42a35e8813f6607eed406,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is squatting and reaching for an item on a shelf; they are not lying, prone, or horizontally collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/342_h05-squatting-02.txt,false
IMG_003744,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/343_h05-squatting-03.png,1ed23067edcea8314d40a89b2f0099b09a4158392f566ffda462ffbf94f69dec,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is in a squatting or kneeling posture, not lying, prone, or horizontally collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/343_h05-squatting-03.txt,false
IMG_003745,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/344_h05-squatting-04.png,ea21f40aae14122b6aad0d2b26e191b6a5831ee2cfd5243299715cfeceda9682,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is clearly in a squatting or kneeling posture, not lying down or horizontally collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/344_h05-squatting-04.txt,false
IMG_003746,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/345_h05-squatting-05.png,1e4dc4cdacc66d3065bdf94b0485b2471346e343c932d4b151577c9ce4914840,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is sitting on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/345_h05-squatting-05.txt,false
IMG_003747,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/346_h05-squatting-06.png,ebc7a165a2f361248ae7b5da7d777e9a8cefcac5782919f245795395f5e4dad4,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is squatting on the floor, not lying, prone, or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/346_h05-squatting-06.txt,false
IMG_003748,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/347_h05-squatting-07.png,f7ed8f5d26dcd88e619f034c2433fcc5e45099454abf424c90e0f40b041529f1,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/347_h05-squatting-07.txt,false
IMG_003749,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/348_h05-squatting-08.png,57fb50e97101ae1cda04436212fb0824c636fe0e3c9191df396359df86b78885,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person is kneeling on the floor, not lying down or collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/348_h05-squatting-08.txt,false
IMG_003750,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/349_h05-squatting-09.png,1d65e08d16ef340f6405ccb60f352ea7050ebc21d5a07c0596a4300c3832ec60,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,positive,"person is curled up on the floor with substantial body supported by the ground, consistent with a lying/collapsed state.",true,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/349_h05-squatting-09.txt,false
IMG_003751,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/350_h05-squatting-10.png,96b35071dbdb8c08a0b6cdcea3b29254263c2e8f23bc580f16a05affdaef1cb4,0,hard_negative,pf_v2_aigc_h05-squatting,pf_v2_aigc_h05-squatting,DEV,P2_DESIGN,ai_generated,squatting_or_crouching,negative,"The person in the foreground is kneeling on the floor, not lying down. The person in the background is standing. No one is lying or horizontally collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/350_h05-squatting-10.txt,false
IMG_003762,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/361_h07-deep-bending-picking-up-items-01.png,3cd2d69225587134247c61e84a90055f9263867f885b60900d79f8b8694c91d7,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over, reaching toward the floor, but is clearly in a standing/squatting posture with legs supporting their weight. They are not lying, prone, or horizontally collapsed on the ground.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/361_h07-deep-bending-picking-up-items-01.txt,false
IMG_003763,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/362_h07-deep-bending-picking-up-items-02.png,7bf20fa13e69139b8874c930ee245517752c005e62842c8cf2cfcef474aec026,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over to pick something up from the floor, maintaining an upright torso and supported by legs. This posture does not meet the definition of lying, prone, supine, side-lying, horizontally collapsed, or curled in a lying state.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/362_h07-deep-bending-picking-up-items-02.txt,false
IMG_003764,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/363_h07-deep-bending-picking-up-items-03.png,4e2129d39ced0b8e46b950449cd4ad48a5fa5bfc7391129916c226441a2ef9de,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"person is squatting or bending over, not lying or collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/363_h07-deep-bending-picking-up-items-03.txt,false
IMG_003765,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/364_h07-deep-bending-picking-up-items-04.png,73297f5338a958b2cbfb7d2852f21215f4f3c2796efdd1c0d411aca59420b63c,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over, reaching towards the floor, but is clearly standing and supported by their legs. They are not lying, prone, or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/364_h07-deep-bending-picking-up-items-04.txt,false
IMG_003766,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/365_h07-deep-bending-picking-up-items-05.png,bc4efb01b55985b35af985f38408d386d11cfd7fd11f6a739d781c11df2a5519,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over and picking up an object from the floor, maintaining an upright posture with legs extended. This is classified as 'bending over' or 'picking something up', which falls under the NEGATIVE category.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/365_h07-deep-bending-picking-up-items-05.txt,false
IMG_003767,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/366_h07-deep-bending-picking-up-items-06.png,831c2c6bfb1688043d0446b34aafb679bf35a3f31111dcd322a6256278fdef1d,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over at the waist, reaching down towards the floor, but is clearly standing upright on their feet. They are not lying, prone, or horizontally collapsed.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/366_h07-deep-bending-picking-up-items-06.txt,false
IMG_003768,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/367_h07-deep-bending-picking-up-items-07.png,79425afdceda6470c49498d375bdeb97e3b0ec24b6a4362771a0071f0c98f474,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over at the waist, reaching towards the floor, but is clearly standing upright with legs apart. This posture is consistent with squatting or bending, not lying or being fallen.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/367_h07-deep-bending-picking-up-items-07.txt,false
IMG_003769,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/368_h07-deep-bending-picking-up-items-08.png,eb3a93d5001918d6667baef0276e5a9ab6386e2d4e3a911e3bfb5b11e7990f18,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over, likely picking something up or performing ground maintenance, but is not lying, prone, or horizontally collapsed on the floor.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/368_h07-deep-bending-picking-up-items-08.txt,false
IMG_003770,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/final/369_h07-deep-bending-picking-up-items-09.png,31e8875b4138b283db834f0e157c46911c3afc0b6a3e61e4dade64dc5ae0b9dd,0,hard_negative,pf_v2_aigc_h07-deep-bending-picking-up-items,pf_v2_aigc_h07-deep-bending-picking-up-items,DEV,P2_DESIGN,ai_generated,deep_bending_or_picking,negative,"The person is bending over at the waist, reaching toward the ground, but is clearly standing upright with legs extended and torso vertical. This posture does not meet the definition of lying, prone, supine, side-lying, horizontally collapsed, or curled in a lying state.",false,/home/yanbo/下载/batches/batch_person-fallen-v2-camera1p5m/prompts/369_h07-deep-bending-picking-up-items-09.txt,false
