media_id,event_label,sample_role,scenario_id,group_id,predicted_status,rule_status,evidence,real_person,support_surface,torso_pelvis_state,active_nonlying_support,nonlying_posture_type,latency_seconds,structured_conflict,conflict_reason
IMG_003797,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a corridor floor, supported only by hands and feet in a plank position, which constitutes a lying body state on an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.266407,false,
IMG_003798,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a grey mat on the industrial floor, with no active support structure maintaining a non-lying posture.",yes,abnormal_non_rest_surface,lying,no,none,2.308336,false,
IMG_003799,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a concrete floor in a parking garage, which is an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.152489,false,
IMG_003801,0,hard_negative,pf_v2_aigc_h10-exercise-push-up-plank,pf_v2_aigc_h10-exercise-push-up-plank,positive,positive,"A real person is lying prone on a blue mat on the floor, which is an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.006199,false,
IMG_003803,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,"A real person is lying prone on a concrete industrial floor, supported only by their hands and knees, with torso and pelvis in a collapsed horizontal state.",yes,abnormal_non_rest_surface,lying,no,none,2.241007,false,
IMG_003804,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,"A real person is lying prone on a carpeted floor in a corridor, supported only by their hands and feet, with no active non-lying support structure.",yes,abnormal_non_rest_surface,lying,no,none,2.170537,false,
IMG_003806,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,"A real person is lying prone on the floor with hands supporting the torso, forming a horizontal body state on an abnormal non-rest surface.",yes,abnormal_non_rest_surface,lying,no,none,2.330703,false,
IMG_003808,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,A real person is lying prone on the floor in a laboratory corridor.,yes,abnormal_non_rest_surface,lying,no,none,2.107724,false,
IMG_003809,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,A real person is lying prone on a concrete floor surface without active support.,yes,abnormal_non_rest_surface,lying,no,none,2.213201,false,
IMG_003810,0,hard_negative,pf_v2_aigc_h11-crawling-under-equipment-inspection,pf_v2_aigc_h11-crawling-under-equipment-inspection,positive,positive,A real person is lying prone on the ground (abnormal non-rest surface) with no active support structure maintaining a non-lying posture.,yes,abnormal_non_rest_surface,lying,no,none,2.263722,false,
